"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","FDIFLOW","INWARD","MLN_USD","A","2005",116656,
"USA","FDIFLOW","INWARD","MLN_USD","A","2006",247328,
"USA","FDIFLOW","INWARD","MLN_USD","A","2007",227715,
"USA","FDIFLOW","INWARD","MLN_USD","A","2008",318449,
"USA","FDIFLOW","INWARD","MLN_USD","A","2009",157737,
"USA","FDIFLOW","INWARD","MLN_USD","A","2010",210544,
"USA","FDIFLOW","INWARD","MLN_USD","A","2011",242155,
"USA","FDIFLOW","INWARD","MLN_USD","A","2012",211467,
"USA","FDIFLOW","INWARD","MLN_USD","A","2013",217274,
"USA","FDIFLOW","INWARD","MLN_USD","A","2014",211985,
"USA","FDIFLOW","INWARD","MLN_USD","A","2015",483849,
"USA","FDIFLOW","INWARD","MLN_USD","A","2016",480016,
"USA","FDIFLOW","INWARD","MLN_USD","A","2017",314977,
"USA","FDIFLOW","INWARD","MLN_USD","A","2018",243424,
"USA","FDIFLOW","INWARD","MLN_USD","A","2019",282053,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2005",26901,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2006",232662,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2007",404989,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2008",320941,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2009",309252,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2010",296334,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2011",415271,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2012",338363,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2013",321937,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2014",347658,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2015",274486,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2016",305441,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2017",353356,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2018",-169354,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2019",118893,
"USA","FDIFLOW","INWARD","PC_GDP","A","2005",0.8948320030695,
"USA","FDIFLOW","INWARD","PC_GDP","A","2006",1.7903365922264,
"USA","FDIFLOW","INWARD","PC_GDP","A","2007",1.575679531908,
"USA","FDIFLOW","INWARD","PC_GDP","A","2008",2.1644284297157,
"USA","FDIFLOW","INWARD","PC_GDP","A","2009",1.0916862228987,
"USA","FDIFLOW","INWARD","PC_GDP","A","2010",1.4043707959391,
"USA","FDIFLOW","INWARD","PC_GDP","A","2011",1.5580101169806,
"USA","FDIFLOW","INWARD","PC_GDP","A","2012",1.3055930642001,
"USA","FDIFLOW","INWARD","PC_GDP","A","2013",1.2944648719253,
"USA","FDIFLOW","INWARD","PC_GDP","A","2014",1.2094590037985,
"USA","FDIFLOW","INWARD","PC_GDP","A","2015",2.6548962456611,
"USA","FDIFLOW","INWARD","PC_GDP","A","2016",2.5648676144961,
"USA","FDIFLOW","INWARD","PC_GDP","A","2017",1.6136592965038,
"USA","FDIFLOW","INWARD","PC_GDP","A","2018",1.1828054535658,
"USA","FDIFLOW","INWARD","PC_GDP","A","2019",1.3163008629018,
"USA","FDIFLOW","OUTWARD","PC_GDP","A","2005",0.20634922948303,
"USA","FDIFLOW","OUTWARD","PC_GDP","A","2006",1.6841736164954,
"USA","FDIFLOW","OUTWARD","PC_GDP","A","2007",2.8023313262099,
"USA","FDIFLOW","OUTWARD","PC_GDP","A","2008",2.1813660104487,
"USA","FDIFLOW","OUTWARD","PC_GDP","A","2009",2.1403104395536,
"USA","FDIFLOW","OUTWARD","PC_GDP","A","2010",1.9766073383417,
"USA","FDIFLOW","OUTWARD","PC_GDP","A","2011",2.6718276281251,
"USA","FDIFLOW","OUTWARD","PC_GDP","A","2012",2.0890464516068,
"USA","FDIFLOW","OUTWARD","PC_GDP","A","2013",1.9180211966135,
"USA","FDIFLOW","OUTWARD","PC_GDP","A","2014",1.983527600267,
"USA","FDIFLOW","OUTWARD","PC_GDP","A","2015",1.5061142027503,
"USA","FDIFLOW","OUTWARD","PC_GDP","A","2016",1.6320617001086,
"USA","FDIFLOW","OUTWARD","PC_GDP","A","2017",1.8102788278998,
"USA","FDIFLOW","OUTWARD","PC_GDP","A","2018",-0.82289681700728,
"USA","FDIFLOW","OUTWARD","PC_GDP","A","2019",0.55485656416694,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2005",626757.3553351,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2006",971400.27941668,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2007",1316280.7176433,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2008",854403.67392969,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2009",692366.09400037,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2010",815491.45196098,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2011",1080675.7473924,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2012",726399.85045137,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2013",699014.86653602,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2014",681942.92449845,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2015",1271265.2477336,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2016",1416216.9402661,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2017",989277.30690166,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2018",1049891.5879669,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2019",851814.40135933,
"OECD","FDIFLOW","OUTWARD","MLN_USD","A","2005",721321.9085397,
"OECD","FDIFLOW","OUTWARD","MLN_USD","A","2006",1142439.4679885,
"OECD","FDIFLOW","OUTWARD","MLN_USD","A","2007",1879954.7503676,
"OECD","FDIFLOW","OUTWARD","MLN_USD","A","2008",1392388.5182475,
"OECD","FDIFLOW","OUTWARD","MLN_USD","A","2009",919107.24365354,
"OECD","FDIFLOW","OUTWARD","MLN_USD","A","2010",1088750.9686267,
"OECD","FDIFLOW","OUTWARD","MLN_USD","A","2011",1236887.8436853,
"OECD","FDIFLOW","OUTWARD","MLN_USD","A","2012",955897.84836571,
"OECD","FDIFLOW","OUTWARD","MLN_USD","A","2013",996513.77645183,
"OECD","FDIFLOW","OUTWARD","MLN_USD","A","2014",887835.04244136,
"OECD","FDIFLOW","OUTWARD","MLN_USD","A","2015",1351467.3872379,
"OECD","FDIFLOW","OUTWARD","MLN_USD","A","2016",1196374.1817343,
"OECD","FDIFLOW","OUTWARD","MLN_USD","A","2017",1202128.1569283,
"OECD","FDIFLOW","OUTWARD","MLN_USD","A","2018",548414.38118612,
"OECD","FDIFLOW","OUTWARD","MLN_USD","A","2019",811670.37268963,
"OECD","FDIFLOW","INWARD","PC_GDP","A","2005",1.6695029913296,
"OECD","FDIFLOW","INWARD","PC_GDP","A","2006",2.4515674166894,
"OECD","FDIFLOW","INWARD","PC_GDP","A","2007",3.0305014542966,
"OECD","FDIFLOW","INWARD","PC_GDP","A","2008",1.8601460313069,
"OECD","FDIFLOW","INWARD","PC_GDP","A","2009",1.6068720706229,
"OECD","FDIFLOW","INWARD","PC_GDP","A","2010",1.8034548634137,
"OECD","FDIFLOW","INWARD","PC_GDP","A","2011",2.2225829939381,
"OECD","FDIFLOW","INWARD","PC_GDP","A","2012",1.4986889851282,
"OECD","FDIFLOW","INWARD","PC_GDP","A","2013",1.4250576558849,
"OECD","FDIFLOW","INWARD","PC_GDP","A","2014",1.3603126721709,
"OECD","FDIFLOW","INWARD","PC_GDP","A","2015",2.6934074907259,
"OECD","FDIFLOW","INWARD","PC_GDP","A","2016",2.9311466757747,
"OECD","FDIFLOW","INWARD","PC_GDP","A","2017",1.9617571389245,
"OECD","FDIFLOW","INWARD","PC_GDP","A","2018",1.9721787497562,
"OECD","FDIFLOW","INWARD","PC_GDP","A","2019",1.5864231999287,
"OECD","FDIFLOW","OUTWARD","PC_GDP","A","2005",1.9213960135733,
"OECD","FDIFLOW","OUTWARD","PC_GDP","A","2006",2.8832268577711,
"OECD","FDIFLOW","OUTWARD","PC_GDP","A","2007",4.3282603236803,
"OECD","FDIFLOW","OUTWARD","PC_GDP","A","2008",3.0314078172708,
"OECD","FDIFLOW","OUTWARD","PC_GDP","A","2009",2.1331023753646,
"OECD","FDIFLOW","OUTWARD","PC_GDP","A","2010",2.4077667824655,
"OECD","FDIFLOW","OUTWARD","PC_GDP","A","2011",2.5438582233543,
"OECD","FDIFLOW","OUTWARD","PC_GDP","A","2012",1.9721831927185,
"OECD","FDIFLOW","OUTWARD","PC_GDP","A","2013",2.0315584893991,
"OECD","FDIFLOW","OUTWARD","PC_GDP","A","2014",1.7710180949801,
"OECD","FDIFLOW","OUTWARD","PC_GDP","A","2015",2.8633303637834,
"OECD","FDIFLOW","OUTWARD","PC_GDP","A","2016",2.4761377343179,
"OECD","FDIFLOW","OUTWARD","PC_GDP","A","2017",2.3838447291814,
"OECD","FDIFLOW","OUTWARD","PC_GDP","A","2018",1.0301741637253,
"OECD","FDIFLOW","OUTWARD","PC_GDP","A","2019",1.5116587696507,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2013-Q1",37237,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2013-Q2",67117,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2013-Q3",62251,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2013-Q4",50667,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2014-Q1",-71976,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2014-Q2",82268,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2014-Q3",106970,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2014-Q4",94723,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2015-Q1",240161,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2015-Q2",97086,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2015-Q3",64312,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2015-Q4",82289,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2016-Q1",142270,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2016-Q2",154893,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2016-Q3",121155,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2016-Q4",61698,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2017-Q1",88321,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2017-Q2",82569,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2017-Q3",78121,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2017-Q4",65964,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2018-Q1",48722,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2018-Q2",923,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2018-Q3",115657,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2018-Q4",78124,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2019-Q1",81887,
